Source IP,Destination IP,NumRepititions,AvgPeriod,PeriodVariance,label
192.168.182.235,29.79.223.76,5,343.08906460000003,33580.55195300394,non-beacon
192.168.129.95,219.13.68.28,1,892.016631,0.0,non-beacon
192.168.90.169,153.167.209.16,7,257.0107277142857,31429.63364903951,non-beacon
192.168.48.57,14.224.71.36,8,209.717828375,22160.80676246911,non-beacon
192.168.57.119,182.50.74.63,10,183.45796379999996,49927.84413702268,non-beacon
192.168.171.233,225.174.178.178,4,364.87863325,116002.82706215736,non-beacon
192.168.104.126,35.177.204.157,11,177.72505781818182,14406.80144310872,non-beacon
192.168.182.235,123.207.87.93,5,341.7984096,31576.555072541425,non-beacon
192.168.230.226,38.135.209.159,2,871.0272045,324413.93487997353,non-beacon
192.168.48.57,22.171.204.113,6,229.02617133333334,36937.39741033132,non-beacon
192.168.182.235,182.179.151.116,3,433.6774910000001,189277.56038047723,non-beacon
192.168.129.95,225.174.178.178,9,168.987693,12747.997064044597,non-beacon
192.168.224.139,198.129.231.194,5,348.5944458,36694.280130678104,non-beacon
192.168.129.95,135.158.164.91,6,197.0852718333333,16103.952520077188,non-beacon
192.168.90.169,21.18.50.97,6,197.70081816666666,48751.68119776769,non-beacon
192.168.7.79,113.235.170.98,7,272.07380742857146,32775.954164065144,non-beacon
192.168.90.169,42.241.43.75,3,530.7035050000001,5563.1718133680915,non-beacon
192.168.104.126,162.66.170.103,4,429.20830475,77727.5466703653,non-beacon
192.168.57.119,103.192.145.243,6,213.93610933333332,27351.160976005554,non-beacon
192.168.129.95,70.205.241.102,3,386.2150526666667,58065.41945013264,non-beacon
192.168.129.95,8.8.8.8,2324,0.8585990955249571,1.5266699670467783,beacon
192.168.48.57,14.25.221.28,8,219.920916875,55988.976243645506,non-beacon
192.168.7.79,228.53.176.71,2,664.935279,90278.34668138387,non-beacon
192.168.57.119,162.160.133.38,4,293.96162575,78298.18791464173,non-beacon
192.168.90.169,227.89.101.111,4,255.0274735,14435.627521557288,non-beacon
192.168.57.119,146.128.203.191,2,284.5741045,42443.24017879275,non-beacon
192.168.57.119,219.26.220.73,5,152.96610519999996,5495.231560079361,non-beacon
192.168.171.233,246.236.253.179,3,167.18574733333332,22612.10582901747,non-beacon
192.168.230.226,179.117.223.69,5,236.59858379999997,51058.71495661767,non-beacon
192.168.7.79,250.118.100.193,2,238.26371900000004,306.06589267812035,non-beacon
192.168.48.57,42.241.43.75,10,175.42980419999998,10744.652910570907,non-beacon
192.168.57.119,179.117.223.69,5,225.0057688,14911.38420395568,non-beacon
192.168.57.119,228.53.176.71,9,195.6323941111111,26365.81688466706,non-beacon
192.168.182.235,97.101.65.144,9,168.00454166666665,15313.34305511188,non-beacon
192.168.224.139,167.183.151.170,3,512.6023306666667,137200.8020454808,non-beacon
192.168.182.235,182.50.74.63,4,486.28879374999997,95886.90840354163,non-beacon
192.168.90.169,114.13.31.171,6,303.3336615,55888.48795202896,non-beacon
192.168.224.139,162.160.133.38,10,194.3347416,19630.485393667313,non-beacon
192.168.104.126,167.121.138.70,4,333.40568925,265390.12811771466,non-beacon
192.168.224.139,167.121.138.70,3,577.9793173333333,269077.73242522293,non-beacon
192.168.224.139,157.239.12.161,4,272.150865,5912.709920554051,non-beacon
192.168.129.95,224.209.228.244,6,245.15915266666664,110297.73691722471,non-beacon
192.168.57.119,50.21.198.225,3,392.99416066666663,32056.633762502384,non-beacon
192.168.104.126,225.174.178.178,7,241.89556414285715,71627.92977225261,non-beacon
