Source IP,Destination IP,NumRepititions,AvgPeriod,PeriodVariance,label
192.168.196.104,31.16.180.219,878,16.24510160933941,223.36690891493427,non-beacon
192.168.162.14,201.123.108.126,948,15.059920536919833,219.02741254261335,non-beacon
192.168.116.51,128.104.195.86,905,15.754606253038675,220.57455686469575,non-beacon
192.168.56.220,8.8.8.8,5541,2.5775639933225047,0.1572621475590951,beacon
192.168.56.220,94.76.29.184,929,15.340176120559741,209.83456199154412,non-beacon
192.168.152.18,8.8.8.8,46,300.60177747826083,0.16754950221334158,beacon
192.168.195.15,8.8.8.8,69,200.40118498550723,18918.076222292628,beacon
192.168.10.247,40.92.47.186,954,14.895635721174004,214.4025518334124,non-beacon
192.168.116.51,31.16.180.219,906,15.710710445916114,218.55484575642782,non-beacon
192.168.162.14,128.104.195.86,899,15.877025187986652,218.41841870819192,non-beacon
192.168.73.23,40.92.47.186,909,15.692199971397141,224.98707027308794,non-beacon
192.168.10.247,8.8.8.8,5534,2.5808243742320203,0.15020244002523095,beacon
192.168.73.23,110.140.75.98,928,15.366969959051723,217.72942275077935,non-beacon
192.168.56.220,40.92.47.186,897,15.900217519509475,207.27504846532565,non-beacon
192.168.116.51,8.8.8.8,235,60.520037493617025,0.15101420359159123,beacon
192.168.152.18,40.92.47.186,910,15.551716318681317,210.67880547003543,non-beacon
