Source IP,Destination IP,NumRepititions,AvgPeriod,PeriodVariance,label
192.168.81.250,151.23.138.223,3,621.786308,614321.6694566357,non-beacon
192.168.89.113,2.204.92.158,9,199.26078533333333,53128.953388100344,non-beacon
192.168.81.250,45.25.7.34,8,202.91039224999997,24839.430512700597,non-beacon
192.168.254.48,146.203.27.213,5,230.8114886,36685.846070233834,non-beacon
192.168.89.113,6.65.86.12,11,170.154535,41080.1407589722,non-beacon
192.168.81.250,18.18.187.145,5,260.2476454,14323.32901698341,non-beacon
192.168.254.48,233.42.72.144,6,294.18743433333333,41489.36297568876,non-beacon
192.168.81.250,177.167.83.142,1,440.74916900000017,0.0,non-beacon
192.168.28.26,146.203.27.213,4,253.53500800000003,7975.239462854492,non-beacon
192.168.28.26,41.209.2.150,7,203.75722085714284,32092.44555819384,non-beacon
192.168.22.164,226.146.10.29,7,174.96597385714284,14231.91147770942,non-beacon
192.168.28.26,113.22.175.104,5,243.60319999999996,19919.357264675204,non-beacon
192.168.254.48,12.62.171.178,6,294.78068666666667,13393.869864217368,non-beacon
192.168.25.172,227.205.248.106,8,212.88469750000002,26880.27765596939,non-beacon
192.168.28.26,54.101.21.71,8,228.31117137500001,42385.5993734112,non-beacon
192.168.28.26,6.49.171.182,6,200.37548933333332,23571.652660500113,non-beacon
192.168.181.162,14.198.111.184,3,515.1428483333333,123599.14354183566,non-beacon
192.168.89.113,229.153.235.149,5,320.2965144,59000.09191395585,non-beacon
192.168.24.200,175.9.228.105,1,1557.229222,0.0,non-beacon
192.168.22.164,54.101.21.71,4,353.6229475,43630.733240738686,non-beacon
192.168.81.250,78.241.137.53,9,214.42218911111112,28954.656101645538,non-beacon
192.168.25.172,8.8.8.8,779,2.5621872246469835,0.15146527606395108,beacon
192.168.147.121,227.205.248.106,6,279.648042,118004.73939675902,non-beacon
192.168.25.172,135.204.234.217,6,262.97170216666666,54513.117991954816,non-beacon
192.168.89.113,95.233.7.169,2,392.169167,63041.76246532897,non-beacon
192.168.28.26,177.226.94.174,9,179.8863832222222,28645.634774280843,non-beacon
192.168.57.99,144.95.243.52,4,447.009701,82025.76570822226,non-beacon
192.168.24.200,51.130.253.67,9,177.44686322222222,43991.49582725293,non-beacon
192.168.24.200,41.209.2.150,5,283.12126120000005,49305.230257029965,non-beacon
192.168.25.172,128.102.52.42,2,746.1239255,153484.30684358664,non-beacon
192.168.24.200,227.189.2.45,7,167.08466957142855,8455.104060519845,non-beacon
192.168.89.113,137.219.189.104,7,202.75957228571428,101297.07768192426,non-beacon
192.168.147.121,111.115.204.105,2,141.767474,634.4210372966514,non-beacon
192.168.25.172,151.144.168.16,6,205.15686166666669,10021.928722737546,non-beacon
192.168.22.164,177.226.94.174,3,576.9004410000001,39337.28291990498,non-beacon
192.168.22.164,174.189.16.249,4,407.22047325,45792.849451928814,non-beacon
192.168.28.26,65.164.218.3,6,212.81212433333334,15234.450191738273,non-beacon
192.168.254.48,153.12.91.58,4,179.38996550000002,20358.566396117298,non-beacon
192.168.57.99,87.147.35.37,1,1086.362983,0.0,non-beacon
192.168.147.121,135.204.234.217,6,265.9066833333333,63140.55972342665,non-beacon
192.168.81.250,208.131.165.48,4,443.43023625,148350.2764857214,non-beacon
192.168.147.121,113.22.175.104,4,144.80747399999998,18513.455655345755,non-beacon
192.168.254.48,179.231.162.142,4,455.64981725,198556.77389609898,non-beacon
192.168.181.162,153.12.91.58,3,347.38726966666667,69744.37499117394,non-beacon
192.168.28.26,14.198.111.184,3,541.363384,1525.4637449266054,non-beacon
192.168.25.172,177.68.51.1,6,286.4853125,90831.94234038463,non-beacon
192.168.28.26,149.86.23.36,3,126.41019233333333,8564.525025810182,non-beacon
192.168.181.162,174.189.16.249,4,298.33688025,48703.13128464877,non-beacon
192.168.254.48,14.198.111.184,6,244.13905433333332,91885.83320697841,non-beacon
192.168.22.164,177.167.83.142,4,194.24307599999997,15201.35694033608,non-beacon
192.168.81.250,98.220.240.8,6,207.84587233333332,23530.462505584797,non-beacon
192.168.181.162,177.226.94.174,2,298.05538650000005,8000.387542108099,non-beacon
192.168.24.200,132.17.188.129,12,143.471797,18581.79319476807,non-beacon
192.168.25.172,123.212.30.163,3,343.58842766666663,73618.18631852033,non-beacon
192.168.24.200,205.77.237.75,7,249.68405414285712,30198.65531436679,non-beacon
192.168.25.172,128.231.122.80,5,228.02137900000002,3717.5034367186804,non-beacon
192.168.22.164,6.142.165.105,3,594.1633016666667,312864.2709646559,non-beacon
192.168.181.162,252.89.31.172,9,196.29498555555557,23316.826513620632,non-beacon
192.168.25.172,39.223.127.122,8,209.957513375,43005.533248778,non-beacon
192.168.147.121,87.147.35.37,7,276.3458842857143,55154.703486721126,non-beacon
192.168.24.200,187.60.193.85,2,553.639823,49300.17047419789,non-beacon
192.168.147.121,144.95.243.52,7,224.34500685714283,37585.56618098742,non-beacon
192.168.81.250,6.65.86.12,2,557.8344904999999,11335.31673836058,non-beacon
192.168.57.99,32.80.76.81,5,286.92396579999996,32011.048116476362,non-beacon
192.168.57.99,39.223.127.122,4,206.97477149999997,24982.16799388926,non-beacon
192.168.89.113,177.167.83.142,5,292.1721904,103231.86414369191,non-beacon
192.168.57.99,58.228.61.96,7,264.4078681428571,18482.17382804595,non-beacon
192.168.81.250,30.89.68.95,6,213.3615371666667,23409.381206160517,non-beacon
